Ship Date,Forecast Qty,SO Quantity,Account Manager,Parent,Item,Item Description
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-07-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-09-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-04-03T00:00:00,,,Vance Jensen,Walmart,4109,"4109 Blackstone Cajun Seasoning, 8.3 ounces"
2023-04-03T00:00:00,,1596,Vance Jensen,Walmart,4107,"4107 Blackstone Steakhouse Seasoning, 7.3 ounces"
2023-04-03T00:00:00,,336,Vance Jensen,Walmart,5229,Griddle Spatula Set - 2 piece (Walmart Exclusive)
2023-04-03T00:00:00,,,Vance Jensen,Walmart,4121,"4121 Blackstone Whiskey Burger Seasoning, 9.6 ounces"
2023-04-03T00:00:00,,4032,Vance Jensen,Walmart,4114,GRIDDLE SEASONING & CONDITIONER
2023-04-03T00:00:00,,,Vance Jensen,Walmart,5073,"BLKST SQUEEZE BOTTLES
"
2023-04-03T00:00:00,,1680,Vance Jensen,Walmart,4106,"Blackstone Parmesan Ranch Seasoning, 7.30 ounces"
2023-04-03T00:00:00,,35,Vance Jensen,Walmart,5303,Tote and Container System
2023-04-03T00:00:00,,480,Vance Jensen,Walmart,8203,E-series 3 pc Griddle Tool Kit
2023-04-03T00:00:00,,360,Vance Jensen,Walmart,5331,Magnetic Griddle Accessory Tray
2023-04-03T00:00:00,,240,Vance Jensen,Walmart,5622,Adventure Ready Cutting Board Kit
2023-04-03T00:00:00,,,Vance Jensen,Walmart,5590,"14""x11"" Wood Cutting Board w/ Feet"
2023-04-03T00:00:00,,6384,Vance Jensen,Walmart,4190,"4190 Pineapple Sriracha Seasoning, 6.9 oz"
2023-06-19T00:00:00,,,,Walmart,RP 94520,RP 94520 -- 2006/2007/2008 Metal Pegs
2023-06-19T00:00:00,,,,Walmart,RP 94521,"RP 94521 -- 2006, 2007, and 2008 Slotted Metal Peg Washer"
2023-06-19T00:00:00,,,,Walmart,RP 94529,RP 94529 -- 2006/2007/2008 M6 Wing Nut
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5225,Hamburger Spatula - Solid Blade
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5153,DELUXE TACO RACK
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5280,Heavy-Duty Scraper with Signature Series Handle
2023-06-27T00:00:00,,,Vance Jensen,Walmart,4114,GRIDDLE SEASONING & CONDITIONER
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5566,Adventure Ready 22in Griddle Carry Bag
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5325,Collapsible Breakfast Kit
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5622,Adventure Ready Cutting Board Kit
2023-06-27T00:00:00,,,Vance Jensen,Walmart,5715,Serving Tray - Orange (2pack)
2022-01-03T00:00:00,,,Vance Jensen,Walmart,5370,4 Piece Professional Breakfast Kit
2022-01-03T00:00:00,,4104,Vance Jensen,Walmart,4100,"4100 Blackstone All Purpose Seasoning, 7.3 ounces"
2022-01-03T00:00:00,,1368,Vance Jensen,Walmart,4109,"4109 Blackstone Cajun Seasoning, 8.3 ounces"
2022-01-03T00:00:00,,4104,Vance Jensen,Walmart,4107,"4107 Blackstone Steakhouse Seasoning, 7.3 ounces"
2022-01-03T00:00:00,,192,Vance Jensen,Walmart,5151,Stainless Steel Butter Roller
2022-01-03T00:00:00,,672,Vance Jensen,Walmart,5225,Hamburger Spatula - Solid Blade
2022-01-03T00:00:00,,672,Vance Jensen,Walmart,5229,Griddle Spatula Set - 2 piece (Walmart Exclusive)
